,APB1LP1,APB1LP2,APB1LP3,APB2LP1,APB2LP2,APB2LP3,APB3LP1,APB3LP2,APB3LP3,APB4LP1,APB4LP2,APB4LP3,APB1EM1,APB1EM2,APB1EM3,APB2EM1,APB2EM2,APB2EM3,APB3EM1,APB3EM2,APB3EM3,APB4EM1,APB4EM2,APB4EM3,JPB1LP1,JPB1LP2,JPB1LP3,JPB2LP1,JPB2LP2,JPB2LP3,JPB3LP1,JPB3LP2,JPB3LP3,JPB4LP1,JPB4LP2,JPB4LP3,JPB1EM1,JPB1EM2,JPB1EM3,JPB2EM1,JPB2EM2,JPB2EM3,JPB3EM1,JPB3EM2,JPB3EM3,JPB4EM1,JPB4EM2,JPB4EM3
Nitzschia sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nitzschia sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Nitzschia sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opephora sp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,2,1,10,0,0,0,1,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Parlibellus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Rhoicosphenia sp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,6,0,3,0,0,0,0,1,0,47,15,0,3,3,11
Tabularia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,2,0,6,0,0,0,0,2,4,0,0,0,0,0,0
Thalassionema sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Trachyneis sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
